id,difficulty,text,current_concepts,suggested_concepts,changed
"902e7987-0323-4dfd-b687-c0b3d6181add","Advanced","Trotz der hohen Erwartungen und begrenzten Kapazitäten hielt das Team die Deadline ein, indem es zusätzliche Ressourcen gezielt einsetzte.","adjective-declension | case-accusative | case-genitive | genitive-preps | separable-verbs | subordinate-clauses | verb-second","modal-verbs | subordinate-clauses | verb-second","YES"
"833de4f1-d750-4349-821c-978166265635","Advanced","Die Implementierung der neuen Strategie erforderte eine tiefgreifende Neuausrichtung sämtlicher Abteilungen.","adjective-declension | case-accusative | case-genitive","adjective-declension | case-genitive | verb-tenses","YES"
"c7721ea3-722b-4135-a8b9-0eb0fb0ef868","Advanced","Die erfolgreiche Implementierung wurde erst durch die vorherige Neuausrichtung der zentralen Abteilungen ermöglicht.","accusative-preps | adjective-declension | case-accusative | case-genitive | passive-voice","passive-voice | subordinate-clauses | verb-tenses","YES"
"9e0941f5-025c-49e0-acc4-0e7fa68e9a35","Beginner","Die kleine Katze sieht einen großen Hund.","","adjective-declension | case-accusative | case-nominative","YES"
"a446dfde-9ecc-45ae-823c-06a4dccfef07","Expert","Derjenige, welcher die von dem sich seiner Verantwortung entziehenden Ausschussvorsitzenden fälschlicherweise als bereits erledigt betrachteten Unterlagen trotz des ausdrücklichen Verbots der Geschäftsleitung dennoch unterzeichnet hatte, wurde fristlos entlassen.","case-dative | case-genitive | passive-voice | relative-pronouns | subordinate-clauses","passive-voice | relative-pronouns | subordinate-clauses","YES"
"6895b358-88af-41ec-89a7-48697cfac6de","Expert","So vielversprechend die schnelle Entwicklung zunächst erscheinen mag, so sorgfältig müssen ihre inhärenten Risiken gegen die langfristige Stabilität des Systems abgewogen werden.","adjective-declension | case-accusative | case-genitive | konjunktiv-ii | modal-verbs | passive-voice | subordinate-clauses","subordinate-clauses | verb-second","YES"
"e3cca353-cc6b-44c1-b66c-41ea0673e5ea","Expert","Es spricht einiges dafür, dass die Revision nicht nur punktuelle Anpassungen, sondern eine grundsätzliche Neubewertung des gesamten Projektrahmens erforderlich macht.","adjective-declension | case-accusative | case-genitive | coordinating-conjunctions | negation | subordinate-clauses","subordinate-clauses | verb-second","YES"
"ad496b29-4a95-4e21-b272-fa0ce86f5939","Expert","Was zunächst wie eine rein operative Neuausrichtung der Abteilungen erscheint, könnte sich langfristig als Voraussetzung für die strategische Handlungsfähigkeit des gesamten Unternehmens erweisen.","adjective-declension | case-accusative | case-genitive | konjunktiv-ii | reflexive-verbs | subordinate-clauses | verb-second","modal-verbs | subordinate-clauses | verb-tenses","YES"
"7b3c723f-67f3-42a9-9204-02a88b0001ea","Intermediate","Ich fahre am Wochenende mit dem Zug zum Markt.","case-dative | dative-preps","case-dative | two-way-preps | verb-second","YES"
"2bad8302-dba5-4d44-8be6-e67ca34eb8a1","Intermediate","Die Frau, die an der Bushaltestelle wartet, ist eine bemerkenswerte Lehrerin.","adjective-declension | case-dative | case-nominative | subordinate-clauses","relative-pronouns | subordinate-clauses","YES"
"69279adb-4134-4334-b972-632effd9bbec","Intermediate","Der Hund des Nachbarn ist schneller als unser Hund, aber sein Verhalten ist oft widersprüchlich.","case-genitive | coordinating-conjunctions","case-genitive | coordinating-conjunctions","no"
"b265307c-c35b-490e-ba81-1fe9be706045","Intermediate","Ich wasche mich, bevor ich ins Bett gehe, weil die Hitze heute wirklich bemerkenswert war.","reflexive-verbs | subordinate-clauses | verb-second","reflexive-verbs | subordinate-clauses | verb-second","no"
"0395424f-c4b4-4892-a54c-1fe15cc14e03","Intermediate","Gib mir das Buch, das auf dem Stuhl liegt, damit ich eine Klarstellung für diese spezifische Nuance finden kann.","case-accusative | modal-verbs | personal-pronouns | subordinate-clauses","subordinate-clauses | verb-second","YES"
"ba3327f2-8724-483d-aaff-aa3c4ed8f2d5","Intermediate","Meine Tochter ist vom Ferienlager nach Hause gekommen und ist bemerkenswert glücklich, hier zu sein.","case-dative | coordinating-conjunctions","coordinating-conjunctions | reflexive-verbs | verb-tenses","YES"
"3a8ec70d-e976-49fd-84d2-9d931cfded6e","Intermediate","Das Brahms-Violinkonzert stieß anfangs auf heftige Kritik.","accusative-preps | case-accusative","passive-voice | verb-tenses","YES"
"589fd969-5524-4e45-ba8f-bd55c232a837","Intermediate","Das Beethoven-Violinkonzert stieß anfangs auf heftige Kritik.","accusative-preps | case-accusative","passive-voice | verb-tenses","YES"
"90372091-f8ec-49b6-866b-dbafb1324e9a","Intermediate","Das Bild hängt an der Wand, aber er hängt es an die andere Wand.","case-accusative | case-dative | coordinating-conjunctions","case-accusative | case-dative | coordinating-conjunctions | two-way-preps","YES"
"b34ae906-71fb-4cdc-8e9a-7a53aab73364","Intermediate","An deiner Stelle würde ich das nicht sagen.","case-accusative | konjunktiv-ii | negation","konjunktiv-ii | verb-second","YES"
"d8711585-7f24-4ec1-b61a-21159b3d6c25","Intermediate","Die Ärztin erklärt dem nervösen Patienten die nächsten Schritte.","case-accusative | case-dative","case-accusative | case-dative | verb-tenses","YES"
"bca27b32-e106-4788-8d0f-9c3e5b386e3b","Intermediate","Obwohl der alte Computer langsam war, konnte die Studentin ihre wichtige Arbeit rechtzeitig abgeben.","case-accusative | modal-verbs | subordinate-clauses | verb-second","modal-verbs | subordinate-clauses | verb-tenses","YES"
"0fffd586-ef58-4248-bf1c-f1ddde6f6d91","Intermediate","Wenn die zuständige Behörde den Antrag genehmigt, beginnt das Bauprojekt im September.","case-accusative | case-dative | subordinate-clauses | verb-second","subordinate-clauses | verb-second","YES"
"6b082cff-321a-49e5-9267-dc889cd50692","Intermediate","Die Firma stellt einen erfahrenen Berater ein, weil das interne Team Unterstützung braucht.","case-accusative | subordinate-clauses | verb-second","case-accusative | subordinate-clauses | verb-second","no"
"7d363325-76ce-4744-a05e-bb276fb7a331","Intermediate","Der Kunde beschwert sich über die verspätete Lieferung und verlangt eine schnelle Lösung.","case-accusative | coordinating-conjunctions | reflexive-verbs","coordinating-conjunctions | modal-verbs | reflexive-verbs","YES"
"f3d25669-cdf5-41e8-a58b-f78113ac4f8c","Intermediate","Die Professorin hilft dem ausländischen Studenten bei der schwierigen Aufgabe.","case-dative","adjective-declension | case-dative | modal-verbs","YES"
"eec55d25-8967-4698-812a-b3f463dc7eff","Intermediate","Nachdem die Mitarbeiterin den falschen Bericht gelöscht hatte, informierte sie sofort ihren Vorgesetzten.","case-accusative | subordinate-clauses | verb-second","subordinate-clauses | verb-tenses","YES"
"9ba11db1-2205-4465-aee8-8348e7580ad7","Intermediate","Der Arzt sagt, der Patient brauche mehr Ruhe und solle die Tabletten regelmäßig nehmen.","case-accusative | konjunktiv-i | modal-verbs | subordinate-clauses","konjunktiv-i | modal-verbs | subordinate-clauses","YES"
